method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_train,ipw_val
random,0,5000,0.5678012377599861,0.00011356024755199723,0.00011356024755199723,,0,0.0,0.024725914001464844,0.504,0.496,100,0.07790736411159031,0.04416676790791181
treat_all,0,5000,10356883.990571119,2071.3767981142237,1778.4242252926815,,1117,0.2234,0.01485300064086914,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,0,5000,0.3432990641267988,6.865981282535976e-05,6.865981282535976e-05,,0,0.0,0.016399860382080078,0.6546,0.3454,100,0.07790736411159031,0.04205926415253394
S2-linear,0,5000,0.3432990641267988,6.865981282535976e-05,6.865981282535976e-05,,0,0.0,0.01684403419494629,0.5514,0.4486,100,0.07790736411159031,0.04294744321769962
S2-lasso,0,5000,21408.93700185546,4.281787400371091,4.281787400371091,,0,0.0,0.01609492301940918,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,0,5000,396.43522724746333,0.07928704544949267,0.07928704544949267,,0,0.0,0.01631927490234375,0.9074,0.0926,100,0.011759453404257705,0.040641399606895605
random,1,5000,130491.0979068128,26.09821958136256,26.09821958136256,,0,0.0,0.02368783950805664,0.5128,0.4872,100,0.07790736411159031,0.04416676790791181
treat_all,1,5000,11473759.521108635,2294.751904221727,1976.1657563596868,,1309,0.2618,0.014119863510131836,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,1,5000,468.3462262075476,0.09366924524150952,0.09366924524150952,,0,0.0,0.015825986862182617,0.6462,0.3538,100,0.07790736411159031,0.04205926415253394
S2-linear,1,5000,4005.7927138622895,0.8011585427724579,0.8011585427724579,,0,0.0,0.015946149826049805,0.5398,0.4602,100,0.07790736411159031,0.04294744321769962
S2-lasso,1,5000,3388.435455550908,0.6776870911101817,0.6776870911101817,,0,0.0,0.015967130661010742,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,1,5000,403.61465409435965,0.08072293081887193,0.08072293081887193,,0,0.0,0.015874147415161133,0.8924,0.1076,100,0.011759453404257705,0.040641399606895605
random,2,5000,1483.3377719487644,0.2966675543897529,0.2966675543897529,,0,0.0,0.023422956466674805,0.51,0.49,100,0.07790736411159031,0.04416676790791181
treat_all,2,5000,11208001.827710196,2241.600365542039,1880.8117402800444,,1351,0.2702,0.013820886611938477,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,2,5000,84.27730026739681,0.016855460053479362,0.016855460053479362,,0,0.0,0.015820026397705078,0.648,0.352,100,0.07790736411159031,0.04205926415253394
S2-linear,2,5000,156.71074952419946,0.03134214990483989,0.03134214990483989,,0,0.0,0.015901803970336914,0.5398,0.4602,100,0.07790736411159031,0.04294744321769962
S2-lasso,2,5000,25756.197057419256,5.151239411483851,5.151239411483851,,0,0.0,0.015671968460083008,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,2,5000,58.891761120860224,0.011778352224172044,0.011778352224172044,,0,0.0,0.015612125396728516,0.8884,0.1116,100,0.011759453404257705,0.040641399606895605
random,3,5000,35062.57123460376,7.012514246920753,7.012514246920753,,0,0.0,0.023681163787841797,0.4904,0.5096,100,0.07790736411159031,0.04416676790791181
treat_all,3,5000,10647142.43141778,2129.428486283556,1845.3754256461218,,1164,0.2328,0.013909101486206055,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,3,5000,3.648349643406642,0.0007296699286813284,0.0007296699286813284,,0,0.0,0.01583099365234375,0.6468,0.3532,100,0.07790736411159031,0.04205926415253394
S2-linear,3,5000,199.1178073046405,0.0398235614609281,0.0398235614609281,,0,0.0,0.015830039978027344,0.5482,0.4518,100,0.07790736411159031,0.04294744321769962
S2-lasso,3,5000,39616.081335899216,7.923216267179844,7.923216267179844,,0,0.0,0.015880823135375977,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,3,5000,3.4602051074600215,0.0006920410214920043,0.0006920410214920043,,0,0.0,0.016264915466308594,0.899,0.101,100,0.011759453404257705,0.040641399606895605
random,4,5000,7906.3803740259245,1.5812760748051848,1.5812760748051848,,0,0.0,0.023092985153198242,0.4988,0.5012,100,0.07790736411159031,0.04416676790791181
treat_all,4,5000,10693641.198083345,2138.728239616669,1825.8924519960478,,1228,0.2456,0.013950824737548828,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,4,5000,0.0,0.0,0.0,,0,0.0,0.015730857849121094,0.6526,0.3474,100,0.07790736411159031,0.04205926415253394
S2-linear,4,5000,86.0959928962918,0.01721919857925836,0.01721919857925836,,0,0.0,0.01652359962463379,0.5554,0.4446,100,0.07790736411159031,0.04294744321769962
S2-lasso,4,5000,47887.336815334405,9.577467363066882,9.577467363066882,,0,0.0,0.015589237213134766,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,4,5000,8.108679154099377,0.0016217358308198754,0.0016217358308198754,,0,0.0,0.015768051147460938,0.897,0.103,100,0.011759453404257705,0.040641399606895605
random,5,5000,9630.436500480233,1.9260873000960466,1.9260873000960466,,0,0.0,0.023512840270996094,0.4978,0.5022,100,0.07790736411159031,0.04416676790791181
treat_all,5,5000,10432807.88009182,2086.561576018364,1777.2892787374176,,1199,0.2398,0.013845205307006836,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,5,5000,0.0,0.0,0.0,,0,0.0,0.016165971755981445,0.655,0.345,100,0.07790736411159031,0.04205926415253394
S2-linear,5,5000,0.0,0.0,0.0,,0,0.0,0.016103029251098633,0.5456,0.4544,100,0.07790736411159031,0.04294744321769962
S2-lasso,5,5000,559952.415942716,111.9904831885432,111.9904831885432,,0,0.0,0.015606164932250977,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,5,5000,12366.292039175114,2.4732584078350226,2.4732584078350226,,0,0.0,0.015991926193237305,0.8976,0.1024,100,0.011759453404257705,0.040641399606895605
random,6,5000,10020.33823943477,2.004067647886954,2.004067647886954,,0,0.0,0.023971080780029297,0.502,0.498,100,0.07790736411159031,0.04416676790791181
treat_all,6,5000,10732678.350417584,2146.535670083517,1866.2327028010166,,1086,0.2172,0.014145135879516602,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,6,5000,2.748550421534322,0.0005497100843068644,0.0005497100843068644,,0,0.0,0.016182899475097656,0.651,0.349,100,0.07790736411159031,0.04205926415253394
S2-linear,6,5000,32.70122081813645,0.006540244163627289,0.006540244163627289,,0,0.0,0.016124248504638672,0.554,0.446,100,0.07790736411159031,0.04294744321769962
S2-lasso,6,5000,20016.987820106937,4.0033975640213875,4.0033975640213875,,0,0.0,0.01621866226196289,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,6,5000,860.5869303474931,0.1721173860694986,0.1721173860694986,,0,0.0,0.016143083572387695,0.8966,0.1034,100,0.011759453404257705,0.040641399606895605
random,7,5000,142694.21216897175,28.53884243379435,28.53884243379435,,0,0.0,0.023823976516723633,0.4952,0.5048,100,0.07790736411159031,0.04416676790791181
treat_all,7,5000,11141284.627039354,2228.2569254078708,1866.819665428606,,1391,0.2782,0.013839006423950195,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,7,5000,32.02958149686125,0.006405916299372249,0.006405916299372249,,0,0.0,0.01572418212890625,0.6468,0.3532,100,0.07790736411159031,0.04205926415253394
S2-linear,7,5000,64.36407084521677,0.012872814169043354,0.012872814169043354,,0,0.0,0.015905141830444336,0.5536,0.4464,100,0.07790736411159031,0.04294744321769962
S2-lasso,7,5000,87122.89474038896,17.42457894807779,17.42457894807779,,0,0.0,0.015170097351074219,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,7,5000,64.4770667935318,0.012895413358706361,0.012895413358706361,,0,0.0,0.015964984893798828,0.8918,0.1082,100,0.011759453404257705,0.040641399606895605
random,8,5000,44571.148407122615,8.914229681424523,8.914229681424523,,0,0.0,0.023653268814086914,0.5012,0.4988,100,0.07790736411159031,0.04416676790791181
treat_all,8,5000,11103986.520306807,2220.7973040613615,1914.2402486639824,,1267,0.2534,0.013965845108032227,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,8,5000,1.2996874179908051,0.00025993748359816104,0.00025993748359816104,,0,0.0,0.01600790023803711,0.6614,0.3386,100,0.07790736411159031,0.04205926415253394
S2-linear,8,5000,1553.478115265937,0.31069562305318743,0.31069562305318743,,0,0.0,0.016090869903564453,0.5464,0.4536,100,0.07790736411159031,0.04294744321769962
S2-lasso,8,5000,3248.4329173324804,0.6496865834664961,0.6496865834664961,,0,0.0,0.015875816345214844,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,8,5000,5.33838165777718,0.0010676763315554361,0.0010676763315554361,,0,0.0,0.015820026397705078,0.8902,0.1098,100,0.011759453404257705,0.040641399606895605
random,9,5000,3625.786746453152,0.7251573492906304,0.7251573492906304,,0,0.0,0.023725032806396484,0.5012,0.4988,100,0.07790736411159031,0.04416676790791181
treat_all,9,5000,10792290.742281483,2158.458148456297,1867.6278783204182,,1173,0.2346,0.013892889022827148,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,9,5000,0.0,0.0,0.0,,0,0.0,0.01579594612121582,0.664,0.336,100,0.07790736411159031,0.04205926415253394
S2-linear,9,5000,2013.1833598771786,0.40263667197543573,0.40263667197543573,,0,0.0,0.015822172164916992,0.544,0.456,100,0.07790736411159031,0.04294744321769962
S2-lasso,9,5000,11015.814866062927,2.2031629732125855,2.2031629732125855,,0,0.0,0.015789031982421875,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,9,5000,246.15732963164902,0.04923146592632981,0.04923146592632981,,0,0.0,0.015922069549560547,0.8944,0.1056,100,0.011759453404257705,0.040641399606895605
random,10,5000,50075.80022000923,10.015160044001846,10.015160044001846,,0,0.0,0.023492813110351562,0.5032,0.4968,100,0.07790736411159031,0.04416676790791181
treat_all,10,5000,11101948.75236157,2220.389750472314,1910.9504598892534,,1238,0.2476,0.013914108276367188,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,10,5000,0.9786428035399246,0.00019572856070798492,0.00019572856070798492,,0,0.0,0.015787839889526367,0.6624,0.3376,100,0.07790736411159031,0.04205926415253394
S2-linear,10,5000,4052.9169028192787,0.8105833805638557,0.8105833805638557,,0,0.0,0.016051054000854492,0.5464,0.4536,100,0.07790736411159031,0.04294744321769962
S2-lasso,10,5000,196028.63758852513,39.20572751770503,39.20572751770503,,0,0.0,0.015352964401245117,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,10,5000,14.85024073948101,0.0029700481478962017,0.0029700481478962017,,0,0.0,0.01589822769165039,0.8896,0.1104,100,0.011759453404257705,0.040641399606895605
random,11,5000,0.9738784306367245,0.0001947756861273449,0.0001947756861273449,,0,0.0,0.023853063583374023,0.5032,0.4968,100,0.07790736411159031,0.04416676790791181
treat_all,11,5000,10574783.867560476,2114.9567735120954,1820.2858302277305,,1079,0.2158,0.01428985595703125,0.0,1.0,100,0.03532080615001087,0.048243811203491575
F,11,5000,1.1109586222931602,0.00022219172445863206,0.00022219172445863206,,0,0.0,0.016332149505615234,0.6594,0.3406,100,0.07790736411159031,0.04205926415253394
S2-linear,11,5000,1.7452889732440218,0.00034905779464880433,0.00034905779464880433,,0,0.0,0.01611018180847168,0.5486,0.4514,100,0.07790736411159031,0.04294744321769962
S2-lasso,11,5000,1020.7714029200383,0.20415428058400767,0.20415428058400767,,0,0.0,0.016087055206298828,1.0,0.0,100,0.06615521101564387,0.04024021627215721
S2-knn,11,5000,7.010355053703271,0.0014020710107406542,0.0014020710107406542,,0,0.0,0.016203880310058594,0.8918,0.1082,100,0.011759453404257705,0.040641399606895605
