method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
random,0,5000,0.5678012377599861,0.00011356024755199723,0.00011356024755199723,,0,0.0,0.030637025833129883,0.504,0.496,200,0.0443782875492678
treat_all,0,5000,10356883.990571119,2071.3767981142237,1778.4242252926815,,1117,0.2234,0.014924049377441406,0.0,1.0,200,0.04811333098626983
F,0,5000,0.3432990641267988,6.865981282535976e-05,6.865981282535976e-05,,0,0.0,0.016285181045532227,0.5858,0.4142,200,0.047332573962992716
S2-linear,0,5000,18.790588569377082,0.0037581177138754163,0.0037581177138754163,,0,0.0,0.016250133514404297,0.7172,0.2828,200,0.04277503167255868
S2-lasso,0,5000,0.3432990641267988,6.865981282535976e-05,6.865981282535976e-05,,0,0.0,0.01628899574279785,0.6568,0.3432,200,0.04129084485558134
S2-knn,0,5000,1612.12963756731,0.322425927513462,0.322425927513462,,0,0.0,0.016231775283813477,0.9374,0.0626,200,0.045102968595256455
random,1,5000,130502.09923208039,26.100419846416077,26.100419846416077,,0,0.0,0.025233983993530273,0.5128,0.4872,200,0.0443782875492678
treat_all,1,5000,11473583.335236406,2294.716667047281,1976.118022446864,,1309,0.2618,0.013935089111328125,0.0,1.0,200,0.04811333098626983
F,1,5000,3061.8076159787843,0.6123615231957569,0.6123615231957569,,0,0.0,0.01648426055908203,0.5938,0.4062,200,0.047332573962992716
S2-linear,1,5000,427.9234079055956,0.08558468158111912,0.08558468158111912,,0,0.0,0.01651787757873535,0.7112,0.2888,200,0.04277503167255868
S2-lasso,1,5000,657.4651451521535,0.1314930290304307,0.1314930290304307,,0,0.0,0.01671004295349121,0.6402,0.3598,200,0.04129084485558134
S2-knn,1,5000,503.1714257461589,0.10063428514923178,0.10063428514923178,,0,0.0,0.01630091667175293,0.9304,0.0696,200,0.045102968595256455
random,2,5000,597.6673849472907,0.11953347698945813,0.11953347698945813,,0,0.0,0.02480792999267578,0.51,0.49,200,0.0443782875492678
