method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
random,0,5000,0.5678012377599861,0.00011356024755199723,0.00011356024755199723,,0,0.0,0.023498058319091797,0.504,0.496,200,0.04337750741873452
treat_all,0,5000,10356883.990571119,2071.3767981142237,1778.4242252926815,,1117,0.2234,0.014655113220214844,0.0,1.0,200,0.04687417834476838
F,0,5000,0.3432990641267988,6.865981282535976e-05,6.865981282535976e-05,,0,0.0,0.01616835594177246,0.5538,0.4462,200,0.04392541735135207
S2-linear,0,5000,89573.7540181901,17.914750803638018,17.914750803638018,,0,0.0,0.015579938888549805,0.4626,0.5374,200,0.04519950416524283
S2-lasso,0,5000,48.38552474050897,0.009677104948101794,0.009677104948101794,,0,0.0,0.016004085540771484,0.773,0.227,200,0.045202667490557805
S2-knn,0,5000,53.21239891150232,0.010642479782300464,0.010642479782300464,,0,0.0,0.01587677001953125,0.7602,0.2398,200,0.04494258989303332
random,1,5000,130491.0979068128,26.09821958136256,26.09821958136256,,0,0.0,0.022511959075927734,0.5128,0.4872,200,0.04337750741873452
treat_all,1,5000,11473759.521108635,2294.751904221727,1976.1657563596868,,1309,0.2618,0.01432180404663086,0.0,1.0,200,0.04687417834476838
F,1,5000,8007.666019284814,1.6015332038569627,1.6015332038569627,,0,0.0,0.015726804733276367,0.5288,0.4712,200,0.04392541735135207
S2-linear,1,5000,709000.3881841851,141.80007763683702,141.80007763683702,,0,0.0,0.015511035919189453,0.4694,0.5306,200,0.04519950416524283
S2-lasso,1,5000,72.8484202903408,0.014569684058068159,0.014569684058068159,,0,0.0,0.015729904174804688,0.7634,0.2366,200,0.045202667490557805
S2-knn,1,5000,124.88058160255328,0.024976116320510656,0.024976116320510656,,0,0.0,0.015813112258911133,0.7604,0.2396,200,0.04494258989303332
random,2,5000,1483.3377719487644,0.2966675543897529,0.2966675543897529,,0,0.0,0.022244930267333984,0.51,0.49,200,0.04337750741873452
treat_all,2,5000,11208001.827710196,2241.600365542039,1880.8117402800444,,1351,0.2702,0.013895988464355469,0.0,1.0,200,0.04687417834476838
F,2,5000,207.5341064776552,0.04150682129553104,0.04150682129553104,,0,0.0,0.015486001968383789,0.54,0.46,200,0.04392541735135207
