method,N,value,value_sem,share_scarce,wait,unserved,ipw_val,n_seeds
Alt,500,0.4923,0.00602,0.1284,3.23455,0.0,0.49652,10
Alt,1000,0.48896,0.00263,0.1396,0.59563,0.0,0.49864,10
Alt,2000,0.4874,0.00402,0.1295,6.91874,0.0,0.49008,10
Alt,4000,0.49344,0.00166,0.153,1.85081,0.0,0.49632,10
Alt,8000,0.5071,0.00289,0.1789,2.69973,0.0,0.5068,10
F,500,0.49801,0.00475,0.1614,5.03297,0.0,0.50072,10
F,1000,0.50192,0.00489,0.1693,2.18768,0.0,0.50376,10
F,2000,0.50128,0.0034,0.1644,1.43998,0.0,0.50772,10
F,4000,0.50385,0.00234,0.1683,1.26201,0.0,0.5056,10
F,8000,0.51897,0.00307,0.1706,0.78637,0.0,0.52436,10
Gs,500,0.49561,0.00326,0.1614,2.93393,0.0,0.5006,10
Gs,1000,0.50188,0.00526,0.163,2.03823,0.0,0.49808,10
Gs,2000,0.50336,0.00386,0.1731,2.39764,0.0,0.50796,10
Gs,4000,0.50875,0.00272,0.1745,2.91875,0.0,0.51172,10
Gs,8000,0.52295,0.0041,0.1719,1.06575,0.0,0.5226,10
S2-dr,500,0.51211,0.00499,0.2076,12.00486,0.0,0.51084,10
S2-dr,1000,0.51768,0.00626,0.193,7.42764,0.0,0.51736,10
S2-dr,2000,0.52243,0.00387,0.2036,8.58394,0.0,0.52272,10
S2-dr,4000,0.52273,0.0029,0.2006,7.83216,0.0,0.52436,10
S2-dr,8000,0.53575,0.0037,0.2007,6.60333,0.0,0.53664,10
S2-knn,500,0.51816,0.00542,0.2074,18.77169,0.0,0.51456,10
S2-knn,1000,0.52117,0.00556,0.1779,16.04682,0.0024,0.52048,10
S2-knn,2000,0.52574,0.00356,0.1888,10.26209,0.0,0.5308,10
S2-knn,4000,0.52674,0.00375,0.1751,4.68835,0.0,0.53164,10
S2-knn,8000,0.53887,0.00355,0.1779,2.71427,0.0,0.53928,10
S2-lasso,500,0.51521,0.0058,0.2025,9.82407,0.0,0.51168,10
S2-lasso,1000,0.51857,0.00597,0.1968,9.9843,0.0,0.51868,10
S2-lasso,2000,0.52155,0.00409,0.2004,7.27804,0.0,0.52244,10
S2-lasso,4000,0.52227,0.00323,0.1978,6.17399,0.0,0.52588,10
S2-lasso,8000,0.53647,0.0038,0.2022,7.72059,0.0,0.53632,10
S2-linear,500,0.50502,0.00394,0.2166,17.55351,0.0,0.5056,10
S2-linear,1000,0.51078,0.00457,0.1917,5.43916,0.0,0.5094,10
S2-linear,2000,0.51753,0.00398,0.1976,7.30494,0.0,0.51932,10
S2-linear,4000,0.51934,0.00287,0.2001,6.97864,0.0,0.51768,10
S2-linear,8000,0.53503,0.00372,0.203,8.52594,0.0,0.53756,10
S2-mlp,500,0.49744,0.00256,0.1894,6.39575,0.0,0.49308,10
S2-mlp,1000,0.50314,0.00464,0.1916,5.1065,0.0,0.51304,10
S2-mlp,2000,0.50453,0.00249,0.1997,9.21467,0.0,0.50928,10
S2-mlp,4000,0.5147,0.0028,0.2012,6.76262,0.0,0.5186,10
S2-mlp,8000,0.53023,0.00448,0.2056,10.10272,0.0,0.52916,10
S2-tree,500,0.5098,0.00556,0.2103,10.1692,0.0,0.51264,10
S2-tree,1000,0.51754,0.00412,0.199,7.50579,0.0,0.5102,10
S2-tree,2000,0.52426,0.00292,0.1963,5.00093,0.0,0.52484,10
S2-tree,4000,0.52263,0.00156,0.2025,7.629,0.0,0.52812,10
S2-tree,8000,0.53264,0.00323,0.2056,8.76882,0.0,0.5424,10
random,500,0.50256,0.0033,0.2582,43.64645,0.0,0.5014,10
random,1000,0.50545,0.00305,0.2582,43.64645,0.0,0.50796,10
random,2000,0.50572,0.00337,0.2582,43.64645,0.0,0.50248,10
random,4000,0.50212,0.00213,0.2582,43.64645,0.0,0.50172,10
random,8000,0.50504,0.00372,0.2582,43.64645,0.0,0.5046,10
treat_all,500,0.55065,0.00227,1.0,604.30566,0.7044,0.67508,10
treat_all,1000,0.55124,0.00296,1.0,604.30566,0.7044,0.67652,10
treat_all,2000,0.549,0.00281,1.0,604.30566,0.7044,0.67472,10
treat_all,4000,0.54799,0.0028,1.0,604.30566,0.7044,0.67536,10
treat_all,8000,0.55119,0.00346,1.0,604.30566,0.7044,0.6762,10
