method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,N,ipw_value
random,0,1000,155757.95225978474,155.75795225978473,143.43631555969924,,31,0.031,0.0049817562103271484,0.509,0.491,100,12.197121356427091
treat_all,0,1000,673135.3494917059,673.1353494917059,539.087562761301,,540,0.54,0.0023987293243408203,0.0,1.0,100,2.1439523396007845
F,0,1000,117.68017078003976,0.11768017078003976,0.11768017078003976,,0,0.0,0.002604961395263672,0.913,0.087,100,21.381223038371278
S2-linear,0,1000,7471.523974907543,7.471523974907543,7.471523974907543,,0,0.0,0.002560853958129883,0.701,0.299,100,12.431010138352692
S2-lasso,0,1000,192.5529430391718,0.19255294303917178,0.19255294303917178,,0,0.0,0.0025854110717773438,0.935,0.065,100,21.60882386602861
S2-knn,0,1000,2046.8750780623413,2.0468750780623415,2.0468750780623415,,0,0.0,0.017583370208740234,0.996,0.004,100,21.583185949062536
random,1,1000,175568.02269690303,175.56802269690303,155.98393093991658,,51,0.051,0.0047931671142578125,0.49,0.51,100,12.197121356427091
treat_all,1,1000,652576.2500789016,652.5762500789017,528.029542241522,,541,0.541,0.002250194549560547,0.0,1.0,100,2.1439523396007845
F,1,1000,14389.61154788898,14.38961154788898,14.38961154788898,,0,0.0,0.002315044403076172,0.913,0.087,100,21.381223038371278
S2-linear,1,1000,6527.846824593119,6.527846824593119,6.527846824593119,,0,0.0,0.0024487972259521484,0.696,0.304,100,12.431010138352692
S2-lasso,1,1000,19678.300401021672,19.678300401021673,19.678300401021673,,0,0.0,0.0023238658905029297,0.923,0.077,100,21.60882386602861
S2-knn,1,1000,55258.13162731033,55.25813162731033,55.25813162731033,,0,0.0,0.018335819244384766,0.992,0.008,100,21.583185949062536
random,2,1000,156071.3360240014,156.0713360240014,145.3442747483556,,26,0.026,0.0047893524169921875,0.503,0.497,100,12.197121356427091
treat_all,2,1000,674199.883425932,674.1998834259321,555.2555265858045,,529,0.529,0.0022885799407958984,0.0,1.0,100,2.1439523396007845
F,2,1000,12.835918204897785,0.012835918204897784,0.012835918204897784,,0,0.0,0.0025322437286376953,0.901,0.099,100,21.381223038371278
S2-linear,2,1000,1136.3588047004114,1.1363588047004114,1.1363588047004114,,0,0.0,0.0025594234466552734,0.719,0.281,100,12.431010138352692
S2-lasso,2,1000,8.475006787530116,0.008475006787530116,0.008475006787530116,,0,0.0,0.018608570098876953,0.929,0.071,100,21.60882386602861
S2-knn,2,1000,790.6083305205957,0.7906083305205956,0.7906083305205956,,0,0.0,0.004662275314331055,0.993,0.007,100,21.583185949062536
random,3,1000,199224.8263149948,199.2248263149948,170.45900660320055,,70,0.07,0.00382232666015625,0.491,0.509,100,12.197121356427091
treat_all,3,1000,706124.1851311645,706.1241851311645,565.2843797228707,,561,0.561,0.002376079559326172,0.0,1.0,100,2.1439523396007845
F,3,1000,264.47357764770555,0.26447357764770557,0.26447357764770557,,0,0.0,0.002533435821533203,0.903,0.097,100,21.381223038371278
S2-linear,3,1000,4626.791436158393,4.626791436158393,4.626791436158393,,0,0.0,0.002509593963623047,0.712,0.288,100,12.431010138352692
S2-lasso,3,1000,800.8577795949309,0.8008577795949309,0.8008577795949309,,0,0.0,0.0025556087493896484,0.907,0.093,100,21.60882386602861
S2-knn,3,1000,12097.323252863298,12.097323252863298,12.097323252863298,,0,0.0,0.0023775100708007812,0.991,0.009,100,21.583185949062536
random,4,1000,140511.1536472406,140.5111536472406,124.80569804045048,,40,0.04,0.0038034915924072266,0.504,0.496,100,12.197121356427091
treat_all,4,1000,634025.2931005989,634.0252931005989,481.8191380760083,,544,0.544,0.002213001251220703,0.0,1.0,100,2.1439523396007845
F,4,1000,51.925095507479405,0.0519250955074794,0.0519250955074794,,0,0.0,0.002499818801879883,0.908,0.092,100,21.381223038371278
S2-linear,4,1000,2.719076735427305,0.002719076735427305,0.002719076735427305,,0,0.0,0.0025572776794433594,0.718,0.282,100,12.431010138352692
S2-lasso,4,1000,135.74827365699934,0.13574827365699935,0.13574827365699935,,0,0.0,0.002555370330810547,0.913,0.087,100,21.60882386602861
S2-knn,4,1000,24406.419250260926,24.406419250260925,24.406419250260925,,0,0.0,0.0024154186248779297,0.994,0.006,100,21.583185949062536
random,5,1000,202286.15441116097,202.28615441116096,155.0731153275392,,109,0.109,0.0038537979125976562,0.473,0.527,100,12.197121356427091
treat_all,5,1000,659237.0559170617,659.2370559170618,515.0684284736575,,582,0.582,0.002310514450073242,0.0,1.0,100,2.1439523396007845
F,5,1000,0.14666228099810663,0.00014666228099810663,0.00014666228099810663,,0,0.0,0.002542734146118164,0.904,0.096,100,21.381223038371278
S2-linear,5,1000,4294.222789659165,4.294222789659165,4.294222789659165,,0,0.0,0.002460479736328125,0.723,0.277,100,12.431010138352692
S2-lasso,5,1000,0.14666228099810663,0.00014666228099810663,0.00014666228099810663,,0,0.0,0.0024781227111816406,0.921,0.079,100,21.60882386602861
S2-knn,5,1000,8857.890626598652,8.857890626598651,8.857890626598651,,0,0.0,0.0023736953735351562,0.998,0.002,100,21.583185949062536
random,6,1000,183611.15162593333,183.61115162593333,145.1813996566078,,89,0.089,0.003726959228515625,0.501,0.499,100,12.197121356427091
treat_all,6,1000,681125.5773449021,681.1255773449021,535.2418286906575,,590,0.59,0.0022401809692382812,0.0,1.0,100,2.1439523396007845
F,6,1000,17784.770133393296,17.784770133393298,17.784770133393298,,0,0.0,0.0024220943450927734,0.906,0.094,100,21.381223038371278
S2-linear,6,1000,20074.159001834716,20.074159001834715,20.074159001834715,,0,0.0,0.0024843215942382812,0.684,0.316,100,12.431010138352692
S2-lasso,6,1000,22818.407190991944,22.818407190991945,22.818407190991945,,0,0.0,0.002382993698120117,0.933,0.067,100,21.60882386602861
S2-knn,6,1000,52048.48758944278,52.048487589442786,52.048487589442786,,0,0.0,0.002350330352783203,0.991,0.009,100,21.583185949062536
random,7,1000,108691.41634121718,108.69141634121718,103.68051186302579,,12,0.012,0.003885030746459961,0.504,0.496,100,12.197121356427091
treat_all,7,1000,605705.8398794618,605.7058398794618,447.9897775576923,,516,0.516,0.0023114681243896484,0.0,1.0,100,2.1439523396007845
F,7,1000,7.106420869414158,0.007106420869414158,0.007106420869414158,,0,0.0,0.0025849342346191406,0.901,0.099,100,21.381223038371278
S2-linear,7,1000,2.9467642213277863,0.002946764221327786,0.002946764221327786,,0,0.0,0.0025839805603027344,0.687,0.313,100,12.431010138352692
S2-lasso,7,1000,16.41728848639631,0.01641728848639631,0.01641728848639631,,0,0.0,0.0025734901428222656,0.928,0.072,100,21.60882386602861
S2-knn,7,1000,45.855030148835226,0.04585503014883523,0.04585503014883523,,0,0.0,0.0025882720947265625,0.992,0.008,100,21.583185949062536
random,8,1000,125570.38562932872,125.57038562932873,120.07364993705175,,14,0.014,0.003864765167236328,0.532,0.468,100,12.197121356427091
treat_all,8,1000,660508.6603665653,660.5086603665653,529.7907102520498,,546,0.546,0.002310037612915039,0.0,1.0,100,2.1439523396007845
F,8,1000,938.8450167135065,0.9388450167135065,0.9388450167135065,,0,0.0,0.0025856494903564453,0.914,0.086,100,21.381223038371278
S2-linear,8,1000,4126.179110369102,4.126179110369102,4.126179110369102,,0,0.0,0.0025844573974609375,0.701,0.299,100,12.431010138352692
