method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,alloc_2,alloc_3,alloc_4,alloc_5,alloc_6,alloc_7,alloc_8,alloc_9,N
F,0,5000,3494455.6997587867,698.8911399517574,685.1315154916399,15.326723061260292,35,0.007,0.033564090728759766,0.0688,0.1628,0.1294,0.0298,0.1374,0.0836,0.1108,0.1248,0.1334,0.0192,100
oracle_greedy_no_cap,0,5000,17443630.42723575,3488.7260854471497,1458.0657118497675,44.229038146896976,3291,0.6582,0.017454862594604492,0.0,0.814,0.009,0.0158,0.0234,0.0268,0.0248,0.0246,0.0284,0.0332,100
S2-linear,0,5000,2977199.5064123543,595.4399012824708,585.5548758540144,13.56479877735065,24,0.0048,0.03154563903808594,0.1026,0.1606,0.0434,0.0732,0.1136,0.099,0.06,0.136,0.1478,0.0638,100
S2-lasso,0,5000,4708694.698246208,941.7389396492416,702.8577988002738,3.321309592527612,430,0.086,0.0364069938659668,0.1042,0.0,0.0796,0.0724,0.1296,0.1456,0.0662,0.2324,0.1068,0.0632,100
S2-knn,0,5000,599127.8152961584,119.82556305923168,119.82556305923168,9.358964277928163,0,0.0,0.03003072738647461,0.1708,0.0892,0.0686,0.0694,0.0906,0.096,0.1006,0.1008,0.0964,0.1176,100
F,1,5000,3752093.754250981,750.4187508501961,727.1722778053056,14.370301858995436,58,0.0116,0.02798008918762207,0.0694,0.157,0.1252,0.026,0.1442,0.081,0.1086,0.1344,0.1348,0.0194,100
oracle_greedy_no_cap,1,5000,18091851.85885469,3618.3703717709377,1544.5286058427796,43.851141744334655,3383,0.6766,0.02414703369140625,0.0,0.822,0.011,0.0172,0.023,0.019,0.0264,0.0232,0.0302,0.028,100
S2-linear,1,5000,3021319.041550261,604.2638083100522,568.0654333082763,13.459635405652534,82,0.0164,0.05355691909790039,0.1036,0.1618,0.0494,0.0742,0.1092,0.1004,0.0532,0.1364,0.147,0.0648,100
S2-lasso,1,5000,4291380.110723282,858.2760221446564,676.6155883233399,3.3270411538757165,342,0.0684,0.022037029266357422,0.105,0.0,0.0836,0.0666,0.1292,0.152,0.0672,0.2266,0.1062,0.0636,100
S2-knn,1,5000,607357.477170324,121.47149543406479,121.47149543406479,9.974775051587528,0,0.0,0.01751089096069336,0.1674,0.0952,0.0606,0.067,0.093,0.0972,0.0956,0.1084,0.0982,0.1174,100
F,2,5000,3498075.021200823,699.6150042401646,679.1838834949176,15.264744905118661,53,0.0106,0.01798105239868164,0.0774,0.1552,0.118,0.0286,0.1468,0.0846,0.1146,0.1238,0.133,0.018,100
oracle_greedy_no_cap,2,5000,17821376.275666386,3564.2752551332774,1460.6762308102761,44.37504573171899,3361,0.6722,0.016809940338134766,0.0,0.8214,0.0108,0.014,0.02,0.021,0.0264,0.0246,0.0288,0.033,100
S2-linear,2,5000,3315756.5887827436,663.1513177565487,621.1355386508203,14.159346480510802,101,0.0202,0.017493009567260742,0.1046,0.1622,0.04,0.0724,0.1152,0.0924,0.0596,0.143,0.1474,0.0632,100
S2-lasso,2,5000,4227440.806902941,845.4881613805883,619.2166281119767,3.31270719681442,405,0.081,0.017328739166259766,0.1108,0.0,0.0908,0.0646,0.1248,0.1458,0.0698,0.2306,0.1018,0.061,100
S2-knn,2,5000,501125.40845265426,100.22508169053086,100.22508169053086,8.964495748235379,0,0.0,0.01727581024169922,0.168,0.086,0.0618,0.0604,0.0926,0.1018,0.0918,0.1194,0.1004,0.1178,100
F,3,5000,2795195.2790999254,559.039055819985,559.039055819985,14.808050295958925,0,0.0,0.017428159713745117,0.0774,0.1556,0.1188,0.0288,0.142,0.084,0.1086,0.1258,0.138,0.021,100
oracle_greedy_no_cap,3,5000,17712669.29646945,3542.53385929389,1588.9845482524986,45.47031236060245,3306,0.6612,0.01671910285949707,0.0,0.8176,0.0114,0.0182,0.0218,0.0248,0.0254,0.022,0.0252,0.0336,100
S2-linear,3,5000,2636271.4647962824,527.2542929592564,527.2542929592564,13.575427822934632,0,0.0,0.01717400550842285,0.1006,0.1534,0.043,0.065,0.118,0.1028,0.061,0.1372,0.153,0.066,100
S2-lasso,3,5000,4464332.172226456,892.8664344452912,669.6938626101272,3.332265988854196,441,0.0882,0.017130136489868164,0.1012,0.0,0.0814,0.0668,0.1298,0.1562,0.0682,0.2318,0.1032,0.0614,100
S2-knn,3,5000,313355.8870741881,62.67117741483762,62.67117741483762,9.26395689996762,0,0.0,0.01709294319152832,0.175,0.0908,0.0624,0.0602,0.0922,0.1032,0.095,0.1052,0.1048,0.1112,100
F,4,5000,3499696.1425603298,699.9392285120659,693.5565800734216,15.17415252414646,17,0.0034,0.01707601547241211,0.0644,0.154,0.1342,0.0272,0.1322,0.0888,0.1062,0.1358,0.135,0.0222,100
oracle_greedy_no_cap,4,5000,17484391.21008525,3496.87824201705,1470.0164807865485,44.30446151690269,3319,0.6638,0.016429901123046875,0.0,0.8144,0.0106,0.016,0.0202,0.0258,0.0252,0.0278,0.028,0.032,100
S2-linear,4,5000,2690669.4758044854,538.133895160897,524.608016688406,13.523753049081947,32,0.0064,0.017426252365112305,0.1022,0.157,0.046,0.0704,0.1098,0.1036,0.057,0.1438,0.1414,0.0688,100
S2-lasso,4,5000,4392812.243689818,878.5624487379637,630.0889968976799,3.3265404573575235,442,0.0884,0.01708817481994629,0.1068,0.0,0.0844,0.0662,0.124,0.147,0.0676,0.2426,0.1012,0.0602,100
S2-knn,4,5000,506203.7918170538,101.24075836341076,101.24075836341076,9.797410322078798,0,0.0,0.017142057418823242,0.1632,0.0884,0.0698,0.0652,0.0952,0.1034,0.1022,0.0936,0.1024,0.1166,100
F,0,5000,1596184.3548027743,319.2368709605548,319.2368709605548,11.382995472209606,0,0.0,0.026121854782104492,0.1054,0.0964,0.1174,0.1176,0.1094,0.0498,0.066,0.1324,0.1228,0.0828,200
oracle_greedy_no_cap,0,5000,17443630.42723575,3488.7260854471497,1458.0657118497675,44.229038146896976,3291,0.6582,0.0324559211730957,0.0,0.814,0.009,0.0158,0.0234,0.0268,0.0248,0.0246,0.0284,0.0332,200
S2-linear,0,5000,1268662.5857257894,253.73251714515789,253.73251714515789,12.404723890490153,0,0.0,0.036924123764038086,0.0938,0.1318,0.0782,0.118,0.1018,0.0666,0.1026,0.119,0.088,0.1002,200
S2-lasso,0,5000,17798230.236949097,3559.6460473898196,1626.6424605328962,3.8183147691725834,3309,0.6618,0.027268171310424805,0.0,0.0,0.0,0.1016,0.8182,0.0,0.0,0.0802,0.0,0.0,200
S2-knn,0,5000,1309138.4010694963,261.82768021389927,261.82768021389927,16.13452825830699,0,0.0,0.027701139450073242,0.1044,0.143,0.0898,0.1264,0.0822,0.0902,0.0934,0.1156,0.0588,0.0962,200
F,1,5000,1786342.752531745,357.268550506349,357.268550506349,12.330225533839773,0,0.0,0.03344297409057617,0.1024,0.1096,0.1066,0.1232,0.1192,0.054,0.0588,0.1234,0.1206,0.0822,200
oracle_greedy_no_cap,1,5000,18091851.85885469,3618.3703717709377,1544.5286058427796,43.851141744334655,3383,0.6766,0.0228121280670166,0.0,0.822,0.011,0.0172,0.023,0.019,0.0264,0.0232,0.0302,0.028,200
S2-linear,1,5000,1573739.3489410193,314.74786978820384,314.74786978820384,12.395615893866164,0,0.0,0.01963496208190918,0.0958,0.1332,0.0744,0.1132,0.089,0.0708,0.0986,0.1264,0.1058,0.0928,200
S2-lasso,1,5000,17813918.361870617,3562.7836723741234,1559.0783325007578,3.8274951433910287,3311,0.6622,0.02923107147216797,0.0,0.0,0.0,0.1058,0.812,0.0,0.0,0.0822,0.0,0.0,200
