method,sim_seed,N_sim,total_wait,mean_wait_all,mean_wait_served,mean_oracle_outcome_served,num_unserved,frac_unserved,sim_wall_s,alloc_0,alloc_1,alloc_2,alloc_3,alloc_4,alloc_5,alloc_6,alloc_7,alloc_8,alloc_9
random,0,5000,228471.07070550456,45.694214141100915,45.694214141100915,19.346058804487058,0,0.0,0.07251787185668945,0.0982,0.1004,0.1014,0.1,0.104,0.0994,0.0952,0.095,0.1006,0.1058
oracle_greedy_no_cap,0,5000,81966899.57461174,16393.37991492235,11454.491524588013,37.09273868811979,2483,0.4966,0.05507183074951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,0,5000,307271.78525371896,61.454357050743795,61.454357050743795,18.371485671577126,0,0.0,0.07373595237731934,0.138,0.1008,0.1076,0.1048,0.0868,0.0766,0.0816,0.1018,0.115,0.087
F,0,5000,819074.8923336513,163.81497846673025,163.81497846673025,20.09973868877282,0,0.0,0.0652008056640625,0.0868,0.0978,0.1088,0.095,0.0764,0.0968,0.0876,0.1282,0.1158,0.1068
S2-linear,0,5000,1281006.7265196266,256.20134530392534,256.20134530392534,19.79269390242694,0,0.0,0.0467832088470459,0.0786,0.1124,0.1046,0.0814,0.1204,0.088,0.0778,0.142,0.0952,0.0996
S2-lasso,0,5000,35500274.45277098,7100.0548905541955,5861.971273037087,25.94343611373047,422,0.0844,0.04494476318359375,0.1306,0.0,0.0828,0.0,0.0,0.0896,0.0,0.0,0.5956,0.1014
S2-tree,0,5000,1327887.0885132665,265.5774177026533,265.5774177026533,20.113812688348208,0,0.0,0.04612994194030762,0.0976,0.081,0.1404,0.0768,0.1058,0.0812,0.0878,0.1386,0.1036,0.0872
S2-knn,0,5000,1738381.7821864537,347.67635643729074,347.67635643729074,18.775894743154986,0,0.0,0.04564213752746582,0.0804,0.123,0.105,0.1524,0.1138,0.085,0.0712,0.0944,0.0848,0.09
S2-dr,0,5000,35709231.89159733,7141.846378319467,5855.229332492255,16.90249029453999,438,0.0876,0.04509782791137695,0.1184,0.0,0.0988,0.0,0.5962,0.0916,0.0,0.0,0.0,0.095
random,1,5000,408325.6567179349,81.66513134358698,81.66513134358698,19.146582367429417,0,0.0,0.05303502082824707,0.0994,0.0972,0.1022,0.1066,0.1074,0.106,0.0958,0.0964,0.0894,0.0996
oracle_greedy_no_cap,1,5000,81557409.5907538,16311.48191815076,11253.165293752854,37.22332478844005,2490,0.498,0.04488396644592285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,1,5000,538599.6286794675,107.7199257358935,107.7199257358935,18.30986735119661,0,0.0,0.05497384071350098,0.131,0.1088,0.1098,0.1028,0.0942,0.0746,0.0848,0.1006,0.1104,0.083
